"Código, "Tipo de via"
("1", "ALAMEDA"),
("2", "ALDEA"),
("3", "APARTAMENTOS"),
("4", "ARROYO"),
("5", "AVENIDA"),
("6", "BAJADA"),
("7", "BARRANCO"),
("8", "BARRIO"),
("9", "BLOQUE"),
("10", "CALLE"),
("11", "CALLEJA"),
("12", "CAMINO"),
("13", "CARRETERA"),
("14", "CASERIO"),
("15", "CHALET"),
("16", "COLEGIO"),
("17", "COLONIA"),
("18", "CONJUNTO"),
("19", "CUESTA"),
("20", "EDIFICIO"),
("21", "ENTRADA"),
("22", "ESCALINATA"),
("23", "EXPLANADA"),
("24", "EXTRAMUROS"),
("25", "EXTRARRADIO"),
("26", "FERROCARRIL"),
("27", "GLORIETA"),
("28", "GRAN VÍA"),
("29", "GRUPO"),
("30", "HUERTA"),
("31", "JARDINES"),
("32", "LADO"),
("33", "LUGAR"),
("34", "MANZANA"),
("35", "MASÍA"),
("36", "MERCADO"),
("37", "MONTE"),
("38", "MUELLE"),
("39", "MUNICIPIO"),
("40", "PARCELA"),
("41", "PARQUE"),
("42", "PARROQUIA"),
("43", "PARTIDA"),
("44", "PASAJE"),
("45", "PASEO"),
("46", "PLAZA"),
("47", "POBLADO"),
("48", "POLIGONO"),
("49", "PROLONGACION"),
("50", "PUENTE"),
("51", "PUERTA"),
("52", "QUINTA"),
("53", "RAMAL"),
("54", "RAMBLA"),
("55", "RAMPA"),
("56", "RIERA"),
("57", "RINCÓN"),
("58", "RONDA"),
("59", "RÚA"),
("60", "SALIDA"),
("61", "SECTOR, SECCIÓN"),
("62", "SENDA"),
("63", "SOLAR, SALÓN"),
("64", "SUBIDA"),
("65", "TERRENOS"),
("66", "TORRENTE"),
("67", "TRAVESIA"),
("68", "URBANIZACION"),
("69", "VÍA"),
("70", "VÍA PÚBLICA"),
("71", "ÁREA, ARRABAL")
